Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Descriptores,13,295790,92693,736263,216542.05,0.000%,.01764,845.75,620.40,49103034.0
Clustering,13,363499,96620,711463,239110.67,0.000%,.01404,19.12,306.46,1394144.9
Entrenamiento,13,232723,69499,765967,187322.16,0.000%,.01448,2.24,318.52,158615.2
Consulta,13,15256,6131,71841,17027.19,0.000%,.01755,101.67,384.06,5933373.0
Thread Group:Descriptores,5,125285,87385,271747,73235.00,0.000%,.01835,879.70,645.31,49103034.0
Thread Group:Clustering,5,116940,67128,180210,36215.21,0.000%,.01983,27.01,432.88,1394480.8
Thread Group:Entrenamiento,5,146343,78256,241320,56922.33,0.000%,.02016,3.05,443.55,154697.6
Thread Group:Consulta,5,10230,8405,13787,2173.92,0.000%,.03578,207.32,783.21,5933373.0
TOTAL,72,191507,6131,765967,205428.19,0.000%,.03883,536.46,979.39,14147043.0
